,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
0,3 BHK Builder Floor,2,Furnished,Bachelors/Family,1800 sqft,"34,000"," Bhagyalaxmi Nagar, Kavadiguda "
1,3 BHK Apartment,2,Semi-Furnished,Family,2500 sqft,"45,000"," Gachibowli, Outer Ring Road "
2,1 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,read more,"18,000", Gachibowli
3,3 BHK Apartment,Immediately,Furnished,Bachelors/Family,2160 sqft,"40,000"," Moosapet, NH "
4,3 BHK Apartment,2,Semi-Furnished,Family,1580 sqft,"23,000", Raghavendra Colony kondapur 
5,3 BHK Apartment,2,Furnished,Bachelors/Family,2600 sqft,"50,000"," Banjara Darwaja, Golconda Fort "
6,3 BHK Service Apartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"32,000"," Mohans Sai Signature, Nanakramguda "
7,Studio Apartment,1,Furnished,Bachelors/Family,read more,"13,000", Gowlidoddy
8,3 BHK Apartment,2,Furnished,Bachelors/Family,1700 sqft,"35,000"," Somajiguda, NH "
9,3 BHK Service Apartment,1,Unfurnished,Family,1150 sqft,"11,000", Kapra 
10,3 BHK Apartment,2,Semi-Furnished,Family,1330 sqft,"19,000"," Tilak Nagar, New Nallakunta, NH "
11,3 BHK Apartment,1,Unfurnished,Bachelors,1836 sqft,"30,000"," Neknampur, Manikonda, Outer Ring Road "
12,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1540 sqft,"18,000"," Mayuri Nagar, Miyapur "
13,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1720 sqft,"30,000"," Accurate Wind Chimes, Narsingi, Outer Ring Road "
14,3 BHK Apartment,2,Semi-Furnished,Family,1950 sqft,"31,000"," Hyder Nagar, NH "
15,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2075 sqft,"49,000"," Vajras Jasmine County, Financial district gucchibowli "
16,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"38,000"," Tirumala Gardens, Banjara Hills, NH "
17,2 BHK Apartment,3,Semi-Furnished,Family,1080 sqft,"18,000"," Paragon Venkatadri Apartments, Kachiguda, NH "
18,3 BHK Apartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"26,000"," Meenakshi Homes, Miyapur, NH "
19,3 BHK Apartment,3,Semi-Furnished,Bachelors/Family,2150 sqft,"25,000", Papulguda 
20,2 BHK Apartment,1,Furnished,Bachelors/Family,1350 sqft,"12,000"," Bachupally, Outer Ring Road "
21,3 BHK Apartment,1,Semi-Furnished,Bachelors/Family,1198 sqft,"34,000", Nanakram Guda 
22,3 BHK Apartment,1,Semi-Furnished,Family,2100 sqft,"39,000"," L&T Serene County, Gachibowli, Outer Ring Road "
23,3 BHK Builder Floor,1,Unfurnished,Bachelors/Family,1875 sqft,"37,000"," SM Plaza, ECIL "
24,3 BHK Apartment,North,Unfurnished,Bachelors/Family,1200 sqft,"13,000"," Chatta Bazaar, Pathar Gatti "
25,2 BHK Apartment,2,Semi-Furnished,Family,1296 sqft,"35,000"," Lodha Meridian, Kukatpally Housing Board Colony, NH "
26,2 BHK Builder Floor,Immediately,Furnished,Bachelors/Family,1100 sqft,"45,000", Hitech City 
