,Unnamed: 0,Bedrooms,Bathrooms,Furnishing,Tennants,Area,Price,Locality
0,0,3BHKBuilderFloor,2,Furnished,Bachelors/Family,1800 sqft,"34,000","BhagyalaxmiNagar,Kavadiguda"
1,1,3BHKApartment,2,Semi-Furnished,Family,2500 sqft,"45,000","Gachibowli,OuterRingRoad"
2,2,1BHKBuilderFloor,2,Furnished,Bachelors/Family,1477 sqft,"18,000",Gachibowli
3,3,3BHKApartment,2,Furnished,Bachelors/Family,2160 sqft,"40,000","Moosapet,NH"
4,4,3BHKApartment,2,Semi-Furnished,Family,1580 sqft,"23,000",RaghavendraColonykondapur
5,5,3BHKApartment,2,Furnished,Bachelors/Family,2600 sqft,"50,000","BanjaraDarwaja,GolcondaFort"
6,6,3BHKServiceApartment,1,Semi-Furnished,Bachelors/Family,1350 sqft,"32,000","MohansSaiSignature,Nanakramguda"
7,7,3BHKApartment,1,Furnished,Bachelors/Family,1477 sqft,"13,000",Gowlidoddy
8,8,3BHKApartment,2,Furnished,Bachelors/Family,1700 sqft,"35,000","Somajiguda,NH"
9,9,3BHKServiceApartment,1,Unfurnished,Family,1150 sqft,"11,000",Kapra
10,10,3BHKApartment,2,Semi-Furnished,Family,1330 sqft,"19,000","TilakNagar,NewNallakunta,NH"
11,11,3BHKApartment,1,Unfurnished,Bachelors,1836 sqft,"30,000","Neknampur,Manikonda,OuterRingRoad"
12,12,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1540 sqft,"18,000","MayuriNagar,Miyapur"
13,13,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1720 sqft,"30,000","AccurateWindChimes,Narsingi,OuterRingRoad"
14,14,3BHKApartment,2,Semi-Furnished,Family,1950 sqft,"31,000","HyderNagar,NH"
15,15,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2075 sqft,"49,000","VajrasJasmineCounty,Financialdistrictgucchibowli"
16,16,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2500 sqft,"38,000","TirumalaGardens,BanjaraHills,NH"
17,17,2BHKApartment,3,Semi-Furnished,Family,1080 sqft,"18,000","ParagonVenkatadriApartments,Kachiguda,NH"
18,18,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"26,000","MeenakshiHomes,Miyapur,NH"
19,19,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2150 sqft,"25,000",Papulguda
20,20,2BHKApartment,1,Furnished,Bachelors/Family,1350 sqft,"12,000","Bachupally,OuterRingRoad"
21,21,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1198 sqft,"34,000",NanakramGuda
22,22,3BHKApartment,1,Semi-Furnished,Family,2100 sqft,"39,000","L&TSereneCounty,Gachibowli,OuterRingRoad"
23,23,3BHKBuilderFloor,1,Unfurnished,Bachelors/Family,1875 sqft,"37,000","SMPlaza,ECIL"
24,24,3BHKApartment,2,Unfurnished,Bachelors/Family,1200 sqft,"13,000","ChattaBazaar,PatharGatti"
25,25,2BHKApartment,2,Semi-Furnished,Family,1296 sqft,"35,000","LodhaMeridian,KukatpallyHousingBoardColony,NH"
26,26,2BHKBuilderFloor,2,Furnished,Bachelors/Family,1100 sqft,"45,000",HitechCity
27,27,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2000 sqft,"38,000","BanjaraHills,NH"
28,28,3BHKApartment,2,Furnished,Bachelors,2020 sqft,"45,000","Gachibowli,OuterRingRoad"
29,29,2BHKServiceApartment,1,Furnished,Bachelors/Family,1200 sqft,"35,000",Mehindipatnam
30,30,3BHKApartment,2,Unfurnished,Bachelors,1640 sqft,"35,000","YMCACircle,Narayanguda"
31,31,3BHKApartment,2,Unfurnished,Bachelors,1640 sqft,"35,000","YMCACircle,Narayanguda"
32,32,3BHKApartment,3,Semi-Furnished,Bachelors/Family,1870 sqft,"40,000","VajrasJasmineCounty,Gachibowli,OuterRingRoad"
33,33,3BHKApartment,2,Semi-Furnished,Family,1600 sqft,"25,000",JubileeHills
34,34,3BHKBuilderFloor,1,Semi-Furnished,Bachelors/Family,1650 sqft,"25,000",Kondapur
35,35,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1477 sqft,"27,000",Kondapur
36,36,2BHKApartment,2,Unfurnished,Bachelors,1260 sqft,"19,000",Kondapur
37,37,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1920 sqft,"35,000","GolfView,Gachibowli,OuterRingRoad"
38,38,3BHKApartment,1,Unfurnished,Bachelors/Family,1250 sqft,"18,000",DevanDevdi
39,39,3BHKApartment,2,Semi-Furnished,Bachelors,1818 sqft,"40,000","LodhaCasaParadiso,SanathNagar,NH"
40,40,3BHKApartment,2,Semi-Furnished,Family,2130 sqft,"24,000","SrilaParkPride,Kukatpally,NH"
41,41,3BHKBuilderFloor,1,Unfurnished,Family,1800 sqft,"35,000","GudiMalkapur,Mehdipatnam"
42,42,3BHKApartment,2,Furnished,Bachelors,1555 sqft,"30,000","Bachupally,OuterRingRoad"
43,43,1BHKApartment,2,Furnished,Bachelors/Family,1477 sqft,"23,000","BanjaraBaseraApartment,BanjaraHills,NH"
44,44,2BHKApartment,2,Semi-Furnished,Family,1200 sqft,"16,000",KPHB
45,45,3BHKBuilderFloor,2,Semi-Furnished,Bachelors/Family,1600 sqft,"20,000","Dullapally,NH"
46,46,2BHKApartment,2,Unfurnished,Bachelors,1296 sqft,"12,000","VSRCelestialTowers,Gajularamaram"
47,47,3BHKApartment,2,Semi-Furnished,Bachelors/Family,2072 sqft,"28,000","Jeedimetla,NH"
48,48,3BHKApartment,3,Unfurnished,Bachelors/Family,1460 sqft,"17,000","VasanthNagarColony,Nizampet"
49,49,3BHKApartment,2,Semi-Furnished,Bachelors,1900 sqft,"45,000","Nallagandla,Serilingampally"
50,50,2BHKApartment,1,Unfurnished,Bachelors/Family,950 sqft,"15,500",BrindavanColony-ToliChowki
51,51,2BHKApartment,1,Furnished,Bachelors/Family,1100 sqft,"16,000",WestMarredpally
52,52,2BHKApartment,1,Semi-Furnished,Family,1563 sqft,"20,000","PBELCity,Appajunction"
53,53,3BHKApartment,2,Unfurnished,Bachelors/Family,1990 sqft,"36,000","AdityaEmpressTowers,Shaikpet"
54,54,3BHKApartment,2,Unfurnished,Bachelors,2051 sqft,"45,000","PrestigeIvyLeague,Phase"
55,55,1BHKBuilderFloor,1,Unfurnished,Bachelors/Family,1477 sqft,"9,800",Shri
56,56,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1260 sqft,"20,000","Upparpally,HyderabadExpressway"
57,57,2BHKApartment,2,Unfurnished,Bachelors/Family,1075 sqft,"15,000","Gangaram,Chandanagar,NH"
58,58,3BHKApartment,3,Semi-Furnished,Bachelors/Family,2100 sqft,"30,000","SrinivasNagar,RhodaMistriNagar"
59,59,3BHKApartment,2,Unfurnished,Bachelors,2000 sqft,"35,000","VasanthNagarColony,Nizampet"
60,60,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"36,000",Madhapur
61,61,3BHKApartment,1,Unfurnished,Bachelors/Family,1360 sqft,"13,000","Annojiguda,NH"
62,62,3BHKApartment,1,Semi-Furnished,Bachelors/Family,2025 sqft,"35,000","Neknampur,Manikonda,OuterRingRoad"
63,63,3BHKApartment,3,Semi-Furnished,Family,1860 sqft,"22,000","NGRI,Secunderabad"
64,64,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1500 sqft,"25,000","Chandanagar,NH"
65,65,2BHKApartment,2,Unfurnished,Bachelors/Family,1160 sqft,"30,000","SamathaNagar,Kukatpally,NH"
66,66,3BHKApartment,2,Unfurnished,Bachelors,1400 sqft,"17,500",BandlagudaJagir
67,67,3BHKApartment,1,Furnished,Bachelors/Family,1380 sqft,"44,000","JainsCarltonCreek,Gachibowli,OuterRingRoad"
68,68,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1800 sqft,"24,000","Kukatpally,NH"
69,69,3BHKApartment,2,Furnished,Bachelors/Family,2000 sqft,"43,000","AdityaImperialHeights,Hafeezpet,NH"
70,70,3BHKApartment,2,Furnished,Bachelors/Family,1800 sqft,"35,000","Nallagandla,Serilingampally"
71,71,3BHKApartment,1,Semi-Furnished,Family,1620 sqft,"25,000",Gajularamaram
72,72,3BHKApartment,3,Semi-Furnished,Family,2200 sqft,"25,000","Ramanthapur,NH"
73,73,3BHKApartment,2,Unfurnished,Bachelors/Family,1810 sqft,"30,000","ALINDEmployeesColony,Serilingampally"
74,74,3BHKBuilderFloor,2,Semi-Furnished,Bachelors,1510 sqft,"12,000","ARKHomes,Bolarum,MedchalRoad"
75,75,4BHKApartment,2,Semi-Furnished,Family,2800 sqft,"50,000","Kokapet,OuterRingRoad"
76,76,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1908 sqft,"48,000","SMRVinayIconia,Kondapur"
77,77,3BHKApartment,2,Semi-Furnished,Family,1705 sqft,"30,000",HitechCity
78,78,2BHKApartment,2,Unfurnished,Bachelors/Family,900 sqft,"19,000",Papulguda
79,79,3BHKApartment,2,Semi-Furnished,Bachelors/Family,1690 sqft,"38,000","MyHomeVihanga,Gachibowli,OuterRingRoad"
80,80,3BHKApartment,1,Semi-Furnished,Bachelors/Family,1600 sqft,"35,000","AdityaEmpressTowers,Shaikpet"
81,81,2BHKApartment,1,Unfurnished,Bachelors/Family,800 sqft,"10,000",Attapur
82,82,3BHKApartment,2,Unfurnished,Bachelors,1360 sqft,"14,000",BalajiHillsColony
83,83,2BHKApartment,1,Furnished,Bachelors,1200 sqft,"29,000","GreenSpaceHillPark,Manikonda,OuterRingRoad"
84,84,2BHKApartment,1,Semi-Furnished,Bachelors/Family,1200 sqft,"17,000",Puppalaguda
